title,action,minutes
How to Become a Tupperware Sales Consultant,Decide how you want to sell Tupperware,11-20mins
How to Become a Tupperware Sales Consultant,Consider taking online courses,31-40mins
How to Become a Tupperware Sales Consultant,Advertise,11-20mins
How to Become a Tupperware Sales Consultant,Host a start up party,31-40mins
How to Become a Tupperware Sales Consultant,Let your business grow,11-20mins
How to Be an Exciting Parent on Animal Jam,Let them go to school,1-10mins
How to Set up a Small Reef Aquarium,Acquire an aquarium,21-30mins
How to Set up a Small Reef Aquarium,Assemble the filter,1-10mins
How to Make Crunchy Cajun Potato Snacks,Prepare the potatoes,21-30mins
How to Make Crunchy Cajun Potato Snacks,Heat some oil in a frying pan,11-20mins
How to Make Crunchy Cajun Potato Snacks,Add the Cajun,21-30mins
How to Make Crunchy Cajun Potato Snacks,Carefully add the potato slices,1-10mins
How to Make Crunchy Cajun Potato Snacks,Add more Cajun,31-40mins
How to Make Crunchy Cajun Potato Snacks,Time to flip them over,1-10mins
How to Make Crunchy Cajun Potato Snacks,Cook a little longer until both sides are golden/brown,1-10mins
How to Make Crunchy Cajun Potato Snacks,Carefully place the slices onto a piece of kitchen towel,11-20mins
How to Make Crunchy Cajun Potato Snacks,Serve hot or cold,1-10mins
How to Make Peaceful Lanterns Out of Jars,Add the tissue paper pieces to the outside of the jar or cup,11-20mins
How to Make Peaceful Lanterns Out of Jars,Add the sealant layer,11-20mins
How to Make Peaceful Lanterns Out of Jars,Slip a tea light candle into the jar,21-30mins
How to Grow Tomatoes in Pots,Wrap nylon netting around the tomato cage,11-20mins
How to Understand the Defcon Scale,Use DEFCON 3 for tense military/political situations,11-20mins
How to Understand the Defcon Scale,Use DEFCON 2 for major threats,1-10mins
How to Understand the Defcon Scale,Be aware of other US alert scales,1-10mins
How to Understand the Defcon Scale,Research the history of the DEFCON scale,11-20mins
How to Glue Plastic,Follow safe ventilation practices,1-10mins
How to Glue Plastic,File the inside smooth if the pipe was sawn,1-10mins
How to Glue Plastic,Work quickly and methodically to apply the solvent cement,11-20mins
How to Glue Plastic,Immediately connect the pipes a quarter turn from the desired alignment then twist and hold,11-20mins
How to Glue Plastic,Correct length mistakes by sawing room for a new joint,1-10mins
How to Pull an All Nighter or Stay up Late (for Preteens),Give your eyes a break,11-20mins
How to Pull an All Nighter or Stay up Late (for Preteens),Eat a healthy snack,11-20mins
How to Pull an All Nighter or Stay up Late (for Preteens),Talk to someone,1-10mins
How to Pull an All Nighter or Stay up Late (for Preteens),Use a lot of water,11-20mins
How to Pull an All Nighter or Stay up Late (for Preteens),Get a buddy system,1-10mins
How to Stop Being an Overly Jealous Girlfriend and Start Being the Best Girlfriend,Deal with past hurts,1-10mins
How to Stop Being an Overly Jealous Girlfriend and Start Being the Best Girlfriend,Learn what it means to have a healthy relationship,21-30mins
How to Stop Being an Overly Jealous Girlfriend and Start Being the Best Girlfriend,Reassess your current relationship,1-10mins
How to Stop Being an Overly Jealous Girlfriend and Start Being the Best Girlfriend,Give your partner space,31-40mins
How to Stop Being an Overly Jealous Girlfriend and Start Being the Best Girlfriend,Breathe new life into the relationship,11-20mins
How to Stop Being an Overly Jealous Girlfriend and Start Being the Best Girlfriend,Build your communication,21-30mins
How to Stop Being an Overly Jealous Girlfriend and Start Being the Best Girlfriend,Learn to trust,11-20mins
How to Stop Being an Overly Jealous Girlfriend and Start Being the Best Girlfriend,Be an awesome girlfriend,11-20mins
How to Create an Abundance Mentality,Get organized,11-20mins
How to Surface Crochet,Tie the yarn onto the hook,21-30mins
How to Surface Crochet,Pull up the loop,31-40mins
How to Surface Crochet,Pull the second loop through the first,11-20mins
How to Surface Crochet,Bind off the yarn,11-20mins
How to Make a Wifi Antenna,Bend the paper clip,11-20mins
How to Make a Wifi Antenna,Insulate the antenna,11-20mins
How to Make a Wifi Antenna,Insert the paper clip into the antenna port,1-10mins
How to Be a Private Investigator,Understand the stress of the job,31-40mins
How to Be a Private Investigator,Get a license to investigate,1-10mins
How to Be a Private Investigator,Prepare materials,11-20mins
How to Be a Private Investigator,Work toward certifications,1-10mins
How to Make a Bow for a Christmas Tree Topper,Make a loop,21-30mins
How to Make a Bow for a Christmas Tree Topper,Make a figure eight,21-30mins
How to Make a Bow for a Christmas Tree Topper,Fill out your bow,11-20mins
How to Make a Bow for a Christmas Tree Topper,Fasten your loops together,21-30mins
How to Make a Bow for a Christmas Tree Topper,Cut some ribbon,21-30mins
How to Make a Bow for a Christmas Tree Topper,Fasten your streamers to your tree,1-10mins
How to Make a Bow for a Christmas Tree Topper,Make waves,11-20mins
How to Make a Bow for a Christmas Tree Topper,Secure the rest of your streamers in place,11-20mins
How to Tell People You're Autistic,Describe autism,21-30mins
How to Tell People You're Autistic,Be prepared for some ignorance or unintentional rudeness,11-20mins
How to Reshingle a Roof,Remove leftover debris from the roof,1-10mins
How to Reshingle a Roof,Secure loose boards and nails that may have worked up (and are sticking up),11-20mins
How to Reshingle a Roof,Cover large holes in boards,1-10mins
How to Reshingle a Roof,Install the roofing felt,31-40mins
How to Reshingle a Roof,Install the drip edge,21-30mins
How to Reshingle a Roof,Dispose of the debris,1-10mins
How to Drop an Egg Without It Breaking,Weigh down the bottom of your container,11-20mins
How to Drop an Egg Without It Breaking,Choose a grassy location,51-60mins
How to Greet a Cat,Kneel or sit at the cat's level,21-30mins
How to Greet a Cat,Extend your finger,31-40mins
How to Greet a Cat,Try playing with toys as an icebreaker,1-10mins
How to Greet a Cat,Use a wand toy to draw it closer,1-10mins
How to Greet a Cat,Ignore the cat,11-20mins
How to Greet a Cat,Be cautious about petting,21-30mins
How to Recycle Office Supplies,Stop using staples in the office,41-50mins
How to Recycle Office Supplies,Devote a room to supplies that can be reused,1-10mins
How to Recycle Office Supplies,Stop the use of colored paper or Manila envelopes,1-10mins
How to Recycle Office Supplies,Reuse large envelopes and boxes whenever possible,31-40mins
How to Recycle Office Supplies,Institute refillable ink and toner cartridges,11-20mins
How to Recycle Office Supplies,Remove disposable water or coffee cups from the office,51-60mins
How to Recycle Office Supplies,Buy recycled paper recycled toilet paper and recycled tissue paper,1-10mins
How to Make Organic Candy,Heat the measuring cup inside of a water-filled saucepan,31-40mins
How to Make Organic Candy,Blend the ingredients together in a food processor,1-10mins
How to Make Organic Candy,Line a loaf pan with parchment paper,1-10mins
How to Make Organic Candy,Pour the fudge mixture into the lined loaf pan,1-10mins
How to Make Organic Candy,Wrap the fudge with the parchment paper,1-10mins
How to Make Organic Candy,Freeze the fudge,11-20mins
How to Make Organic Candy,Cut the fudge into squares,21-30mins
How to Find Grocery Coupons Online,Look for old Sunday papers,1-10mins
How to Find Grocery Coupons Online,Check in dumpsters or recycling centers,1-10mins
How to Find Grocery Coupons Online,Trade coupons with others,11-20mins
How to Find Grocery Coupons Online,Find coupons on existing grocery products,11-20mins
How to Make Vegetable Fritters,Wash peel and grate the zucchinis,11-20mins
How to Avoid a Bank Inactivity Fee,Know where you have your accounts,1-10mins
How to Avoid a Bank Inactivity Fee,Read the fine print,31-40mins
How to Bleach Pants,Place the pants in the bleach solution,1-10mins
How to Diagnose and Treat Salivary Cysts in Cats,Examine the mouth area,21-30mins
How to Diagnose and Treat Salivary Cysts in Cats,Watch their daily habits,11-20mins
How to Diagnose and Treat Salivary Cysts in Cats,Test for tumors and abscesses,11-20mins
How to Make Roasted Tomato Ketchup,Puree and strain the vegetables,11-20mins
How to Cut Butternut Squash,Sharpen your knife if necessary,11-20mins
How to Perform a Bean Seed Dissection Experiment,Gather your lab materials,11-20mins
How to Perform a Bean Seed Dissection Experiment,Make a hypothesis about what the bean will look like on the inside before you cut it open,11-20mins
How to Perform a Bean Seed Dissection Experiment,Split the bean in half,1-10mins
How to Perform a Bean Seed Dissection Experiment,Examine and observe the inside of the bean,21-30mins
How to Perform a Bean Seed Dissection Experiment,Compare your observations to your hypothesis,31-40mins
How to Perform a Bean Seed Dissection Experiment,Compare a dry bean with a soaked bean,1-10mins
How to Get Photos Off an iPhone,Double-click the Photos app,21-30mins
How to Get Photos Off an iPhone,Select photos to import,1-10mins
How to Get Photos Off an iPhone,Click Import Selected,41-50mins
How to Get Photos Off an iPhone,Click Delete when prompted,1-10mins
How to Get Photos Off an iPhone,Wait for your photos to finish uploading,21-30mins
How to Get Photos Off an iPhone,Disconnect your iPhone from your Mac,21-30mins
How to Care for Boston Ferns,Pot your fern,21-30mins
How to Care for Boston Ferns,Put your Boston fern in an appropriate room indoors,1-10mins
How to Overcome the Trauma of a Shark Attack,Think of how grateful you are to survive,11-20mins
How to Count to Ten in Malay,Understand the use of numbers in Malay,1-10mins
How to Make Peppermint Meringue Cookies,Combine the egg whites vinegar and salt,1-10mins
How to Make Peppermint Meringue Cookies,Gradually add the sugar,31-40mins
How to Make Peppermint Meringue Cookies,Bake the cookies,21-30mins
How to Make Peppermint Meringue Cookies,Cool the cookies,11-20mins
How to Have a Fun and Safe Halloween Party (for Kids),Choose a time,11-20mins
How to Have a Fun and Safe Halloween Party (for Kids),Tidy up around the house,41-50mins
How to Attract Cardinals,Provide water,1-10mins
How to Attract Cardinals,Make sure there are places for cardinals to nest in your yard,21-30mins
How to Attract Cardinals,Watch for cardinals in your yard,21-30mins
How to Attract Cardinals,Put a suet feeder out in winter,21-30mins
How to Make an Avatar,Make sure the subject will scale well,21-30mins
How to Make an Avatar,Open the picture with your image editing software,1-10mins
How to Make an Avatar,Choose to scale or crop your image,21-30mins
How to Make an Avatar,Save the resized image,11-20mins
How to Make an Avatar,Add effects to your avatar,1-10mins
How to Choose a Good Caterer,Listen to word of mouth recommendations,1-10mins
How to Choose a Good Caterer,Schedule a tasting,1-10mins
How to Choose a Good Caterer,Consider the caterer's specialty,21-30mins
How to Be a Sales Training Manager,Be prepared to travel,21-30mins
How to Be a Sales Training Manager,Network within the sales community,11-20mins
How to Be a Sales Training Manager,Use your connections and online job databases to look for jobs as a sales training manager,1-10mins
How to Make Breadless Sandwiches,Try wrapping your sandwich fillings in butter lettuce,11-20mins
How to Make Breadless Sandwiches,Slice up a cucumber,51-60mins
How to Make Breadless Sandwiches,Pick your condiments,21-30mins
How to Patch a Flat Tire,Dry and clean the inner tube,11-20mins
How to Patch a Flat Tire,Assemble the tire,11-20mins
How to Practice Confucian Filial Piety,All bonds are two way therefore there are actually ten types of love,1-10mins
How to Practice Confucian Filial Piety,The second bond is Husband to wife,11-20mins
How to Practice Confucian Filial Piety,The fourth bond is friend to friend,1-10mins
How to Antique a Door,Treat the door with steel wool and vinegar,11-20mins
How to Antique a Door,Imitate old worn paint,41-50mins
How to Antique a Door,Apply protective finish (optional),1-10mins
How to Make a Flower,Cut nine lengths of wire,1-10mins
How to Make a Flower,Bend each wire into a petal shape,11-20mins
How to Make a Flower,Wrap the plastic over the wire frame,11-20mins
How to Make a Flower,Position the remaining petals,11-20mins
How to Be Good at Halo 4: Advanced,Make loadouts that suit your playstyle,21-30mins
How to Be Good at Halo 4: Advanced,Don't rage!,11-20mins
How to Graph a Circle,Know the equation of a circle,11-20mins
How to Audit Links Post Google's Penguin Algorithm Update,Be sure to retain diary notes of requests for removal of links,41-50mins
How to Make Your Home More Inviting,Make use of artwork,1-10mins
How to Make Your Home More Inviting,Add decorations,41-50mins
How to Make Your Home More Inviting,Have plenty of books,11-20mins
How to Prevent Skin Irritation During Winter,Moisturize occasionally,1-10mins
How to Make an Easy Bowl for Smoking,Put a hole in your bottle for the stem,21-30mins
How to Make an Easy Bowl for Smoking,Roll the aluminum foil around a pill bottle,11-20mins
How to Use Your Parenting Skills at Work,Think about how you manage your household,1-10mins
How to Use Your Parenting Skills at Work,Communicate effectively,1-10mins
How to Use Your Parenting Skills at Work,Keep your perspective,11-20mins
How to Use Your Parenting Skills at Work,Stay calm under pressure,21-30mins
How to Get Up and Start Taking Photos,Find the power button on your computer and press it,21-30mins
How to Get Up and Start Taking Photos,Get over gear envy,31-40mins
How to Attend a Baha'i Meeting,Ask questions,11-20mins
How to Attend a Baha'i Meeting,Avoid specific political opinions,21-30mins
How to Make Pepper Spray,Drill a hole in the bottom of the can.Drill a 9mm hole in the bottom of your spray can,1-10mins
How to Make Pepper Spray,Store the spray at room temperature,11-20mins
How to Change Motorcycle Disc Brakes,Remove the brake caliper mechanism,21-30mins
How to Change Motorcycle Disc Brakes,Go easy on your brakes for the next 350 miles,21-30mins
How to Choose Airport Parking,Figure out your schedule,21-30mins
How to Choose Airport Parking,Calculate how long you will need to park,21-30mins
How to Choose Airport Parking,Determine how much you can pay,1-10mins
How to Choose Airport Parking,Call for more information,1-10mins
How to Choose Airport Parking,Think about the safety of the lot,11-20mins
How to Choose Airport Parking,Park close to the terminal if you can,11-20mins
How to Choose Airport Parking,Have a backup plan,21-30mins
How to Choose Airport Parking,Leave your home with enough time,1-10mins
How to Choose Airport Parking,Choose your spot,31-40mins
How to Use Food for Art,Learn to intricately paint Easter eggs,21-30mins
How to Use Food for Art,Learn fruit and vegetable carving,41-50mins
How to Use Food for Art,Make decorative sugar cookies,1-10mins
How to Use Food for Art,Practice pumpkin carving,1-10mins
How to Speak American English,Listen for accents dialects and slang,1-10mins
How to Speak American English,Make an effort to communicate in English,1-10mins
How to Speak American English,Approach interactions with a sense of humor,21-30mins
How to Speak American English,Try to speak a 'little' louder when you're talking to someone in America,11-20mins
How to Wash Curly Hair Without Drying It Out,Use your shampoo one last time to rid the hair of any non-water soluble ingredients that builds up on hair,1-10mins
How to Wash Curly Hair Without Drying It Out,Go buy the appropriate conditioners,21-30mins
How to Wash Curly Hair Without Drying It Out,Detangle your hair again to distribute the conditioner,11-20mins
How to Wash Curly Hair Without Drying It Out,Add another helping of conditioner as a leave in,1-10mins
How to Wash Curly Hair Without Drying It Out,Give your hair time to adjust,21-30mins
How to Wash Curly Hair Without Drying It Out,Love your curls however thick or thin they are,11-20mins
How to Make a Psi Ball,Feel the psi flowing,21-30mins
How to Make a Psi Ball,Make a shell,1-10mins
How to Make a Psi Ball,Program the ball and fill it in,1-10mins
How to Make a Psi Ball,Move your psi ball,1-10mins
How to Make a Psi Ball,Experiment with other methods,21-30mins
How to Make a Psi Ball,Experiment with compression,1-10mins
How to Live Life As a Kid,Learn as much as you possibly can while you're still young,11-20mins
How to Find Good Fanfiction,Remember author names,41-50mins
How to Find Good Fanfiction,Search through communities,21-30mins
How to Find Good Fanfiction,Look at people's favorites section,1-10mins
How to Increase Libido,Consider the under-appreciated psychological component of sex drive,1-10mins
How to Increase Libido,Understand the role of testosterone in regulating long-term sex drive for both women and men,41-50mins
How to Increase Libido,Use strength and resistance training to boost testosterone levels,21-30mins
How to Do Magic Tricks That Require No Equipment,Choose an assistant,21-30mins
How to Do Magic Tricks That Require No Equipment,Tell the assistant your plan,21-30mins
How to Do Magic Tricks That Require No Equipment,Ask the audience to pick an object,21-30mins
How to Do Magic Tricks That Require No Equipment,Point to a few wrong objects,1-10mins
How to Do Magic Tricks That Require No Equipment,Point to the correct object,11-20mins
How to Do Magic Tricks That Require No Equipment,Repeat if the audience is excited,11-20mins
How to Make Tissue Paper Butterflies,Cut out your butterfly template out of a sheet of paper,11-20mins
How to Make Tissue Paper Butterflies,Make the bodies of the butterflies using pipe cleaners,21-30mins
How to Sew a Scalloped Edge,Determine how long your edging will need to be,11-20mins
How to Sew a Scalloped Edge,Experiment on paper first,1-10mins
How to Sew a Scalloped Edge,Place two pieces of fabric together,11-20mins
How to Sew a Scalloped Edge,Sew along the curved edges,11-20mins
How to Sew a Scalloped Edge,Cut triangles into edges to remove bulk,1-10mins
How to Give an Eloquent Speech,Have a deep understanding of your talk,1-10mins
How to Give an Eloquent Speech,Jot down clear notes,1-10mins
How to Give an Eloquent Speech,Arrive well ahead of schedule,1-10mins
How to Give an Eloquent Speech,Test the equipment and props thoroughly and ahead of time,21-30mins
How to Give an Eloquent Speech,Wear appropriate clothes,11-20mins
How to Give an Eloquent Speech,Work on tension reducers,11-20mins
How to Get Involved at Your Child's School,Attend Back to School Night to find out about volunteer opportunities,11-20mins
How to Get Involved at Your Child's School,Join the PTA,21-30mins
How to Get Involved at Your Child's School,Suggest your own volunteer opportunities,1-10mins
How to Get Involved at Your Child's School,Stay up-to-date on the events going on at the school,11-20mins
How to Get Involved at Your Child's School,Attend training if necessary,41-50mins
How to Study Chemical Reactions and Their Thermodynamic Parameters,Study the role of a chemical transformation,11-20mins
How to Apply Tween Makeup,Wash your face,1-10mins
How to Apply Tween Makeup,Pluck hairs,21-30mins
How to Apply Tween Makeup,Pull your hair back,1-10mins
How to Apply Tween Makeup,Apply eyeliner,1-10mins
How to Form an LLC in Virginia,Register the LLC name with the State Corporation Commission,1-10mins
How to Form an LLC in Virginia,Nominate a Registered Agent for your LLC,21-30mins
How to Form an LLC in Virginia,Apply for an Employee Identification Number (EIN) from the IRS,11-20mins
How to Form an LLC in Virginia,Become familiar with the LLC state and federal tax requirements for Virginia,21-30mins
How to Form an LLC in Virginia,Determine if you require a business license or permit,1-10mins
How to Form an LLC in Virginia,Pay the annual registration fee for LLCs in Virginia,21-30mins
How to Form an LLC in Virginia,Apply for business insurance for your LLC,21-30mins
How to Become Pregnant With HPV,Get vaccinated,21-30mins
How to Cure a Headache Without Medication,Drink lots of water,11-20mins
How to Cure a Headache Without Medication,Use rosemary,11-20mins
How to Cure a Headache Without Medication,Use basil oil,1-10mins
How to Cure a Headache Without Medication,Use cinnamon,11-20mins
How to Cure a Headache Without Medication,Use peppermint,1-10mins
How to Cook Skirt Steak,Decide on your flavor profile,31-40mins
How to Become an eBay Powerseller,Consider adding voice and video to your listings,11-20mins
How to Become an eBay Powerseller,Schedule listing for peaks periods,11-20mins
How to Become an eBay Powerseller,Offer discounts on multiple items,21-30mins
How to Make a Steve Head,Cut the paper into small squares,21-30mins
How to Put an Address on an Envelope (Great Britain),Use good penmanship and indelible ink,1-10mins
How to Put an Address on an Envelope (Great Britain),Include the name of the locality and the postcode on the next line(s),11-20mins
How to Glaze,Mix a cup of glaze,11-20mins
How to Glaze,Dip a foam paintbrush into the glaze,31-40mins
How to Glaze,Wipe the glaze off with a damp discarded rag or baby wipes,11-20mins
How to Glaze,Spray a clear poly coat sealer to seal in the glaze,11-20mins
How to Make a Tortillon,Roll your paper,31-40mins
How to Make a Tortillon,Organize tortillons by color,11-20mins
How to Welcome the New Kid at School,Find out more about them,11-20mins
How to Welcome the New Kid at School,Talk just a little about yourself,11-20mins
How to Welcome the New Kid at School,Make sure the new kid is seated near you,11-20mins
How to Welcome the New Kid at School,Invite them to sit with you at lunch,11-20mins
How to Welcome the New Kid at School,Introduce the new kid to your friends,51-60mins
How to Welcome the New Kid at School,Check in with them frequently,1-10mins
How to Welcome the New Kid at School,Be ready to help them with homework if you share classes,21-30mins
How to Use Kitchen Scissors,Cut fresh herbs and spices quickly and safely,11-20mins
How to Use Kitchen Scissors,Snip pieces of cheese into a dish as it is cooking,1-10mins
How to Set a Passcode on an iPhone,Scroll down and tap Touch ID & Passcode,31-40mins
How to Set a Passcode on an iPhone,Scroll down and tap Turn Passcode On,1-10mins
How to Set a Passcode on an iPhone,Tap Passcode Options,21-30mins
How to Set a Passcode on an iPhone,Tap a passcode option,11-20mins
How to Set a Passcode on an iPhone,Enter a passcode,1-10mins
How to Set a Passcode on an iPhone,Re-enter your passcode,1-10mins
How to Set a Passcode on an iPhone,Enter your Apple ID password,1-10mins
How to Set a Passcode on an iPhone,Tap Continue,11-20mins
How to Become Rainbow (the Style),Get the look,1-10mins
How to Become Rainbow (the Style),Understand the Rainbow lifestyle,1-10mins
How to Become Rainbow (the Style),Be active in the community of Rainbows,1-10mins
How to Check if a Banknote Is Genuine,Check for watermarks,21-30mins
How to Check if a Banknote Is Genuine,Look for microprinting,1-10mins
How to Check if a Banknote Is Genuine,Feel the note for Braille or other raised markings,31-40mins
How to Check if a Banknote Is Genuine,Check the serial number,11-20mins
How to Check if a Banknote Is Genuine,Look for a transparent window on the note,31-40mins
How to Check if a Banknote Is Genuine,Think about the material the note is made of,1-10mins
How to Check if a Banknote Is Genuine,Consider the effects of wear and tear on the note,11-20mins
How to Contact JK Rowling,Try her twitter if it's a short question,1-10mins
How to Contact JK Rowling,Make your letter stand out,1-10mins
How to Contact JK Rowling,Ask questions,11-20mins
How to Contact JK Rowling,Add something creative to your mail,31-40mins
How to Make Whipple Cream,Push the clay to one side of the bag,31-40mins
How to Make Whipple Cream,Do not substitute different types of glue,1-10mins
How to Make Whipple Cream,Store the whipple cream carefully,1-10mins
How to Skip Class,Avoid obvious hang-outs,1-10mins
How to Create Feathered Eyebrows,Darken your brows in a feathered motion,11-20mins
How to Eat After a Workout,Determine how active you are on a weekly basis,1-10mins
How to Eat After a Workout,Use your BMR and your fitness goals to determine your calorie intake,31-40mins
How to Eat After a Workout,Create a workout diet based on your calorie intake,1-10mins
How to Eat After a Workout,Make post-workout meals that are high in protein and carbohydrates,31-40mins
How to Eat After a Workout,Avoid foods high in fats and empty calories,1-10mins
How to Eat After a Workout,Use supplements after a bodybuilding workout,41-50mins
How to Eat After a Workout,Drink water instead of sports drinks,21-30mins
How to Eat After a Workout,Continue with your workout diet for the rest of the day,1-10mins
How to Cope With a Baby Being Diagnosed With Special Needs,Find resources,11-20mins
How to Build an Airsoft Gun out of Household Objects,Screw the blowgun into the nozzle,41-50mins
How to Build an Airsoft Gun out of Household Objects,Thread the brake line onto the bottle cap,11-20mins
How to Create a Virus,Decide what you want your virus to do,21-30mins
How to Create a Virus,Research ways to hide your code,31-40mins
How to Create a Virus,Release your virus,31-40mins
How to Make a Citrus Slice Centerpiece,Pick what type of flowers you want,1-10mins
How to Make a Citrus Slice Centerpiece,Finalize your arrangement plan,31-40mins
How to Make a Citrus Slice Centerpiece,Make the floral arrangement the day of the event,21-30mins
How to Make a Citrus Slice Centerpiece,Place the small vases inside the larger vases,11-20mins
How to Wear a Sarong,Fold a sarong in half then wrap it around your waist to wear it as a mini skirt,21-30mins
How to Wear a Sarong,Wear the sarong as folded or tucked skirt,1-10mins
How to Wear a Sarong,Wear the sarong as a sundress,21-30mins
How to Wear a Sarong,Wear the sarong as a bandeau dress,11-20mins
How to Wear a Sarong,Wear the sarong as a tube dress,11-20mins
How to Wear a Sarong,Tie the sarong above your shoulder and wear it as a long dress,11-20mins
How to Wear a Sarong,Wear a sarong as a jump suit,1-10mins
How to Wear a Sarong,Drape the sarong across your shoulders and wear it as a shawl,1-10mins
How to Wear a Sarong,Turn a sarong into a vest,31-40mins
How to Build a Pole Barn,Dig the holes,41-50mins
How to Build a Pole Barn,Even-out the height of the poles,31-40mins
How to Build a Pole Barn,Build the trusses,1-10mins
How to Build a Pole Barn,Add doors or windows,1-10mins
How to Speak the Ancient Language from the Inheritance Cycle,Learn other suffixes and prefixes,11-20mins
How to Speak the Ancient Language from the Inheritance Cycle,Learn some important words in the language,21-30mins
How to Create a Microsoft Account,Swipe the screen to the left,1-10mins
How to Create a Microsoft Account,Create a password,11-20mins
How to Create a Microsoft Account,Enter your postal code,11-20mins
How to Register for Selective Service,Know if you must register for the Selective Service,11-20mins
How to Register for Selective Service,Register at a post office,11-20mins
How to Do Condition Scoring for Horse Yearlings,Feel the horse's body,11-20mins
How to Do Condition Scoring for Horse Yearlings,Assign scores to each body area,11-20mins
How to Do Condition Scoring for Horse Yearlings,Review the scores,1-10mins
How to Do Condition Scoring for Horse Yearlings,Figure out ways to improve the score,21-30mins
How to Do Condition Scoring for Horse Yearlings,Discuss your horse's score with its veterinarian,21-30mins
How to Enjoy Eating Pie,Have a pie prepared to eat,21-30mins
How to Enjoy Eating Pie,Realize that some pies might only have a bottom crust and sweet fillings that do not need cooking,1-10mins
How to Enjoy Eating Pie,Make Tofu Cheese Pie,11-20mins
How to Look Good for School (Girls),Be hygienic,11-20mins
How to Look Good for School (Girls),Try to keep clear skin,21-30mins
How to Look Good for School (Girls),Put on makeup,41-50mins
How to Look Good for School (Girls),Do your hair,1-10mins
How to Look Good for School (Girls),Consider perfume or body spray,1-10mins
How to Look Good for School (Girls),Pick an outfit the night before,51-60mins
How to Look Good for School (Girls),Keep your nails looking good,11-20mins
How to Look Good for School (Girls),Focus on confidence and the right attitude!,21-30mins
How to Become a Hockey Fan,Find the closest professional or minor league team in your area,51-60mins
How to Become a Hockey Fan,Grab a schedule,11-20mins
How to Become a Hockey Fan,Watch some games!,21-30mins
How to Become a Hockey Fan,Meet other people who enjoy hockey,31-40mins
How to Become a Hockey Fan,Continue and expand,31-40mins
How to Make Sweet and Sour Meatballs,Roll the meat mixture into 1-inch (2.54 centimeters) balls,1-10mins
How to Make Sweet and Sour Meatballs,Fry the meatballs until they turn golden-brown,31-40mins
How to Make Sweet and Sour Meatballs,Set the meatballs aside on some folded paper towels to drain,11-20mins
How to Make Sweet and Sour Meatballs,Fry the onion in a medium-sized saucepan,31-40mins
How to Make Sweet and Sour Meatballs,Serve the meatballs,11-20mins
How to Download YouTube Videos,Visit the youtube-dl website,11-20mins
How to Download YouTube Videos,Download and install the youtube-dl files,21-30mins
How to Download YouTube Videos,Open the Command Prompt or Terminal,1-10mins
How to Download YouTube Videos,Enter the command to download the video,11-20mins
How to Make Fairies in a Jar,Add a filler,11-20mins
How to Make Fairies in a Jar,Add a fairy inside the jar,11-20mins
How to Make Fairies in a Jar,Cover the lid with some fabric,51-60mins
How to Make Fairies in a Jar,Embellish the lid,21-30mins
How to Make Fairies in a Jar,Tie a ribbon around the neck of the jar,11-20mins
How to Make Fairies in a Jar,Use a colored jar,1-10mins
How to Make Fairies in a Jar,Add fairy-shaped silhouettes,21-30mins
How to Share a Room With a Younger Boy Sibling when You're a Girl,When you want to be alone ask him to leave,1-10mins
How to Share a Room With a Younger Boy Sibling when You're a Girl,Put your things on high shelves or in locked drawers so he can't reach them,11-20mins
How to Share a Room With a Younger Boy Sibling when You're a Girl,Be patient,1-10mins
How to Organize Medical Records,Ask your caregivers for access to your medical files,11-20mins
How to Organize Medical Records,Copy all the documents in your medical files,1-10mins
How to Organize Medical Records,Organize and put your hard copies in a binder,21-30mins
How to Organize Medical Records,Create a table of contents,21-30mins
How to Organize Medical Records,Scan your medical records into your computer,1-10mins
How to Organize Medical Records,Buy software specifically for personal medical records,1-10mins
How to Organize Medical Records,Store your health records online,11-20mins
How to Survive an Oral Exam,Find out what's covered,11-20mins
How to Survive an Oral Exam,Try to project confidence through body language,31-40mins
How to Write a Lyric,Go over your lyrics and change your sentences into lines,11-20mins
How to Change LEDs on Roccat Ryos,Opening up the keyboard,31-40mins
How to Change LEDs on Roccat Ryos,There are 14 total screws on the back of the keyboard,31-40mins
How to Change LEDs on Roccat Ryos,Swapping out the dead leds,1-10mins
How to Change LEDs on Roccat Ryos,Thumb keys,11-20mins
How to Change LEDs on Roccat Ryos,Should be simple just reverse everything you've done don't forget to connect the ground wire,11-20mins
How to Practice Gesture Drawing,Give short glances at the subject rather than keep your gaze on it,11-20mins
How to Practice Gesture Drawing,Find all the other features that fit in with your subject in a easier way,11-20mins
How to Practice Gesture Drawing,Keep your hand moving,1-10mins
How to Behave in a Movie Theater,Enter the movie theater quietly and choose a seat quickly,1-10mins
How to Behave in a Movie Theater,Turn off any electronic devices,11-20mins
How to Behave in a Movie Theater,Release saved seats when the lights dim,1-10mins
How to Behave in a Movie Theater,Don't talk during the movie,11-20mins
How to Behave in a Movie Theater,Exit the movie theater silently and respectfully during the movie,1-10mins
How to Behave in a Movie Theater,Share your space respectfully with strangers,1-10mins
How to Behave in a Movie Theater,Wait for the lights to turn back on before exiting the movie theater,21-30mins
How to Massage Your Partner,Soothe your partner's legs with long downward strokes from the upper thighs to the soles of their feet,41-50mins
How to Massage Your Partner,Ask your partner to turn over,11-20mins
How to Massage Your Partner,Fold the bottom towel up to expose their legs and feet and oil your hands,21-30mins
