displaytitle,description,class
How to Do the Baby Crow Pose,Lift your feet off the floor slowly,1-10secs
How to Make a Lei,String the first flower,21-30secs
How to Pay off Someone Else's Mortgage,Research your credit,41-50secs
How to Catch a Rock Bass,Land your fish,1-10secs
How to Make a Lesson Plan,Warm them up,1-10secs
How to Make a Pocket Fold Invitation,Fill the pocket,1-10secs
How to Preserve Flowers,Add copper,11-20secs
How to Preserve Flowers,Add bleach,11-20secs
How to Preserve Flowers,Add flat soda,31-40secs
How to Preserve Flowers,Add vinegar,1-10secs
How to Preserve Flowers,Spray the flowers,11-20secs
How to Make Bath Bombs,Gather all your ingredients,31-40secs
How to Make Bath Bombs,Combine the powders,21-30secs
How to Get Rid of Migraines,Learn to meditate,1-10secs
How to Get Rid of Migraines,Identify food triggers,1-10secs
How to Get Into Film School,Create a strong application,41-50secs
How to Make Buttermilk from Milk,Mix your acid together with your milk,11-20secs
How to Make Buttermilk from Milk,Stir together and let milk stand for 5 - 10 minutes,11-20secs
How to Make Buttermilk from Milk,Use your buttermilk as you would any other buttermilk,11-20secs
How to Make Buttermilk from Milk,Try making substitute buttermilk out of yogurt and water,11-20secs
How to Make Buttermilk from Milk,Try making substitute buttermilk out of sour cream and water,21-30secs
How to Make Buttermilk from Milk,Mix milk and cream of tartar for a buttermilk substitute,21-30secs
How to Make a Maplestory Music Video (Mmv),Go into MapleStory and gather your participating friends,41-50secs
How to Maintain a Healthy Cardiovascular System,Increase your intake of vegetables and fruits,1-10secs
How to Pay Bills During an Extended Absence,Determine the best person for the job,41-50secs
How to Write a Formal Email,Use a proper salutation,1-10secs
How to Get Back in Shape,Buy new stuff,51-60secs
How to Get Back in Shape,Go for a fun activity,11-20secs
How to Get Back in Shape,Keep a record,21-30secs
How to Get Back in Shape,Work towards building a routine,51-60secs
How to Get Bus Directions on Google Maps,Identify your starting location,1-10secs
How to Get Bus Directions on Google Maps,Select a bus route,1-10secs
How to Get Bus Directions on Google Maps,Get directions,21-30secs
How to Introduce Your New Dog to Elderly Neighbors,Supervise the introduction,11-20secs
How to Make a Crown,Gather the supplies,1-10secs
How to Use Your Smart Phone to Improve Your Health,Try a diabetes management app,11-20secs
How to Find the Center of a Circle,Draw a vertical line through the two points at which the circles intersect,11-20secs
How to Find the Center of a Circle,Erase the two overlapping circles,31-40secs
How to Find the Center of a Circle,Draw a line through the points at which these new circles intersect,1-10secs
How to Find the Center of a Circle,Find the center,11-20secs
How to Tunisian Crochet the Crossed Stitch,Skip the first thread and crochet into second thread,1-10secs
How to Tunisian Crochet the Crossed Stitch,Return to the skipped thread and crochet into it,1-10secs
How to Be Earth Friendly During the Holidays,Think energy efficiency when using items that draw on power,21-30secs
How to Obtain Power of Attorney in Indiana,Put it in writing,31-40secs
How to Farm Wishing Well Fruit in RuneScape,Acquire a level 96 farming,11-20secs
How to Naturally Darken Your Hair,Crush the walnut shells,1-10secs
How to Know when It Is Safe to Download Something,Assess what you're downloading,11-20secs
How to Select and Use Chokos (Chayote Squash),Peel large chokos,31-40secs
How to Plan a Sabbatical,Look into schools if you have children,51-60secs
How to Keep Rabbit Bottles from Freezing,Fill the water bottle with warm water,21-30secs
How to Get Rid of Ants Outside,Buy a range of ant baits,31-40secs
How to Revive Malnourished House Plants,Make sure the plant is alive,11-20secs
How to Revive Malnourished House Plants,Fill the pot 3/4 full with planting soil,41-50secs
How to Revive Malnourished House Plants,Testing a place to position your plant,11-20secs
How to Revive Malnourished House Plants,Mark your calendar to accentuate the new beginning,11-20secs
How to Make a Disney's Mulan Costume,Get a pink robe,21-30secs
How to Make a Sword,Cut your wood,41-50secs
How to Boil Milk,Check whether the milk needs to be boiled,1-10secs
How to Look Cool in School,Have fun with what you wear,1-10secs
How to Access Exchange Webmail,Wait for the login screen to appear,1-10secs
How to Choose a Bicycle Helmet,Try it on to make sure it fits properly,1-10secs
How to Choose a Bicycle Helmet,Wear your helmet all the time when riding,11-20secs
How to Remove Blackheads,Use honey and cinnamon,41-50secs
How to Get Into Copywriting,Look for early opportunities,41-50secs
How to Memorize Lines,Understand that visual memory is not something you are born with,21-30secs
How to Calculate Current Ratio,Understand current liabilities,51-60secs
How to Calculate Current Ratio,Understand current assets,11-20secs
How to Calculate Current Ratio,Calculate current assets,1-10secs
How to Calculate Current Ratio,Calculate total liabilities,11-20secs
How to Calculate Current Ratio,Determine current liabilities,1-10secs
How to Calculate Current Ratio,Find the current ratio,1-10secs
How to Share Apps Using an iPhone,Share to Facebook,21-30secs
How to Curl Your Hair Without Heat,Comb your hair,21-30secs
How to Tell Your Partner About Your PTSD,Let your partner know how to help you,11-20secs
How to Tell Your Partner About Your PTSD,Treat your relationship like any other relationship,11-20secs
How to Turn Prose Into Poetry,Pick 50 to 100 words of prose that you really like,11-20secs
How to Plan Your Stay in Dubai,Consider your budget,1-10secs
How to Get a Job with a Bachelor's Degree in Communications,Contact companies directly,21-30secs
How to Get a Job with a Bachelor's Degree in Communications,Demonstrate your communication skills by submitting a high-quality resume and cover letter,1-10secs
How to Buy a Remote Starter for an SUV,Purchase engine speed detection,21-30secs
How to Dress Like a Hipster,Raid mom's closet for vintage tees,41-50secs
How to Project Your Voice (Without Yelling),Test your volume and sound quality,11-20secs
How to Transport Fish,Transport the aquarium if it is small,31-40secs
How to Make Bacon Cheddar Bread,Fold in the cheese and bacon,1-10secs
How to Make Bacon Cheddar Bread,Bake the bacon cheddar bread,1-10secs
How to Diagnose Ear Infections in Cocker Spaniels,Notice when your dog favors her ears,1-10secs
How to Improve Your Credit Score,Make a budget and stick to it,1-10secs
How to Be a Free Thinker,Try to avoid joining groups of supposedly like-minded others,31-40secs
How to Build an Outdoor Shower,Consider how much drainage you'll need when constructing the floor and walls,1-10secs
How to Inspire Creativity in Your Kids,Solve problems in different ways,1-10secs
How to Buy a Power Supply,Determine the robustness of the PSU,11-20secs
How to Buy a Power Supply,Check the number of rails,21-30secs
How to Distinguish Between Mexican and Spanish Cuisine,Eat a tortilla in Spain and it is an omelette made of potatoes eggs and onions,11-20secs
How to Cope with Receiving Anonymous Letters,Ponder the contents of the letter,41-50secs
How to Be Comfortable with the Fact that You Blush Easily,Chill out,41-50secs
How to Be Comfortable with the Fact that You Blush Easily,Seek social support,21-30secs
How to Sublease,Look for a tenant,41-50secs
How to Get Rid of Underarm Fat,Eat a varied diet,31-40secs
How to Figure out Your Mobile Operating System,Turn on your device,21-30secs
How to Cancel Your Crunch Membership,Determine whether you like the gym environment,51-60secs
How to Cancel Your Crunch Membership,Look at the space,11-20secs
How to Relax at the Computer,Fingers interlaced over the head,1-10secs
How to Make a Toga out of a Bedsheet,Grab the corner of the bed sheet in one hand,1-10secs
How to Farm Marigold in RuneScape,Acquire a level 2 farming,31-40secs
How to Farm Marigold in RuneScape,Travel to one of the flower patches,31-40secs
How to Accept That Your Brother Is a Brony,Be calm about it,11-20secs
How to Make Substitute Baking Powder,Add your baking soda to the dry ingredients and your acid to the wet ingredients before combining the two,51-60secs
How to Balance Your Spiritual Life with Your Working Life,Decide what aspects of your spirituality have not been adequately attended to,51-60secs
How to Make Bronze Color Eyeshadow,Get your basic eyeshadow colours,1-10secs
How to Make Bronze Color Eyeshadow,Use the light brown as a base,41-50secs
How to Teach Your Dog to Speak,Teach your dog to ask to go out,1-10secs
How to Make Musical Instruments with Recycled Materials,Overlap two popsicle sticks,21-30secs
How to Collect Old Rare Books,Get in touch with other book collectors,11-20secs
How to Wash Your Face Without Products,Wash your hands!,11-20secs
How to Date a Leo Man,Be feminine and social,1-10secs
How to Date a Leo Man,Don't be overly jealous,21-30secs
How to Appeal a License Suspension,Determine why your license are suspended,31-40secs
How to Draw Ballet Slippers,Draw the top of the shoe,11-20secs
How to Draw Ballet Slippers,Draw the ribbons,21-30secs
How to Draw Ballet Slippers,Colour in your shoes using pencils,21-30secs
How to Keep Yellow Jacket Wasps Away,Spray them with soap and water,1-10secs
How to Keep Yellow Jacket Wasps Away,Get a non-toxic wasp trap and set it out early in the season,21-30secs
How to Keep Yellow Jacket Wasps Away,Build a trap of your own using a large soda bottle,51-60secs
How to Keep Yellow Jacket Wasps Away,Cover the entrance and exit of the yellow jacket's nest with a powdered insecticide,11-20secs
How to Keep Yellow Jacket Wasps Away,Dispose of an aerial nest with a big cloth bag,11-20secs
How to Get a Rounder Perkier Booty,Do squats,21-30secs
How to Travel Around China,Choose your destination,1-10secs
How to Travel Around China,Choose transportation,31-40secs
How to Make Supervillains,Figure out what powers your villain will have,11-20secs
How to Change a Drill Chuck,Set the gearbox to the lowest setting,11-20secs
How to Become Flexible,Pay attention to what you eat and ensuring that you are getting adequate nutrition,1-10secs
How to Identify a Papillon,Observe the coat of white fur with patches of color,21-30secs
How to Identify a Papillon,Take note of the delicate bone structure,1-10secs
How to Remove Ink Stamps from Papers,Acquire sandpaper,1-10secs
How to Remove Ink Stamps from Papers,Tear off a section of sandpaper,11-20secs
How to Remove Ink Stamps from Papers,Set up the paper with the stamp,1-10secs
How to Remove Ink Stamps from Papers,Alternate with an eraser,11-20secs
How to Make Holographic Nails,Get some holographic nail powder,21-30secs
How to Plant and Care for a Ranunculus,Pick out a spot for your ranunculus based on your climate,21-30secs
How to Plant and Care for a Ranunculus,Be aware that you can generally tell how many flowers you will get by looking at the bulb or tuber,21-30secs
How to Wear Leggings,Make sure your workplace dress codes allows you to wear leggings to work at all,1-10secs
How to Create a Torrent,Select the files you wish to be in the torrent,1-10secs
How to Create a Torrent,Now that you have your torrent file open it ready for seeding,41-50secs
How to Create a Torrent,Share your torrent,41-50secs
How to Give a Barbie a Makeover,Take a small pick comb (some Barbies come with these brushes) and pick out knots,11-20secs
How to Give a Barbie a Makeover,Take some scissors (if you are young you might need adult supervision) and cut Barbie's hair into a new hair style,11-20secs
How to Give a Barbie a Makeover,Consider dyeing her hair,21-30secs
How to Give a Barbie a Makeover,Make some clothing,21-30secs
How to Teach Your Kids to Have a Work Ethic,Give chores to every family member,11-20secs
How to Avoid Phantom Menace Bacteria,Communicate with your physician,11-20secs
How to Make Wild Grape Juice in Harvest Moon: Friends of Mineral Town,Choose your ingredients,11-20secs
How to Get Into Columbia University,Decide which school you should apply to,21-30secs
How to Draw a Chibi Squirrel,Draw one large circle,1-10secs
How to Heal Peeling Lips,Apply beeswax,11-20secs
How to Choose a School Bag,Figure out how durable you want your bag to be,11-20secs
How to Choose an Evening Dress by Color,Don't forget a bag,21-30secs
How to Make a Scented Candle in a Glass,Add the essential oils,31-40secs
How to Stop Using Racist Comments,Bring awareness to these racist comments,11-20secs
How to Stop Using Racist Comments,Try to step into the shoes of those you speak about,11-20secs
How to Stop Using Racist Comments,Consider the mental and physical impact of racism,41-50secs
How to Change Facebook Color Scheme,Launch Google Chrome,1-10secs
How to Cut a Beard,Get a razor,11-20secs
How to Cut a Beard,Prep your beard for shaving,11-20secs
How to Cut a Beard,Shave down your desired beard line,41-50secs
How to Clean Rubber Floor Mats,Shake off dirt,11-20secs
How to Get Rid of Mosquitoes,Put out a dish of soapy water,21-30secs
How to Calculate Kilowatts Used by Light Bulbs,Find the wattage rating of the bulb,51-60secs
How to Remove Someone from a Slack Channel,Launch the Slack app,41-50secs
How to Crochet Earrings,Weave in the ends,11-20secs
How to Avoid Trans Fats,Avoid prepackaged baked goods,1-10secs
How to Be Happy with Braces,Take care of your lips,11-20secs
How to Start a Conversation Online,Don't be afraid to talk about yourself,21-30secs
How to Put a Friend or Relative out of Your House,Seek out information or alternatives as a good will gesture,41-50secs
How to Put a Friend or Relative out of Your House,Be firm clear and consistent about your decision,1-10secs
How to Plan Your Honeymoon in Bora Bora,Plan your honeymoon during Bora Bora's winter season,21-30secs
How to Budget a Checking Account,Get duplicate checks,21-30secs
How to Budget a Checking Account,Save your receipts,11-20secs
How to Budget a Checking Account,Use your checkbook ledger,11-20secs
How to Budget a Checking Account,Review your statements,41-50secs
How to Budget a Checking Account,Balance your account regularly,1-10secs
How to Choose Eye Glasses,Look for oval or round frames if you have a square angular face,1-10secs
How to Write a Spell,Work with the seasons,11-20secs
How to Reduce the Dust Mite Population in Your Home,Add an allergen barrier to your bedding,1-10secs
How to Dress Up for a Disco Party,Wear an open-necked button-down shirt,1-10secs
How to Use a White Tipped Cane,Handle the cane,41-50secs
How to Get a Cat out of a Tree,Determine exactly where the cat is if you can't see it right away,31-40secs
How to Use the Facebook Archived Folder Files,Open the Facebook ZIP folder you downloaded from the email,21-30secs
How to Stop Twitching in Your Sleep,Consult your doctor,1-10secs
How to Get Rare Items on Buildabearville,If you haven't already begin trading,31-40secs
How to Raise the Chances of Having a Boy,Artificially inseminate the mother with the processed sperm,51-60secs
How to Diagnose and Treat Your Dog's Itchy Skin Problems,Check for fleas,11-20secs
How to Refinish Wood Floors,Apply the stripper on an area of about two square feet,31-40secs
How to Make a Chair,Make your pattern,21-30secs
How to Get Rid of Rust in Hair,Get a Malibu treatment at a salon,21-30secs
How to Diagnose and Treat Salpingitis,Make an appointment with your gynecologist,51-60secs
How to Unlock a ZTE Phone,Find out your carrier's policy on unlocking phones,31-40secs
How to Be a Good Telemarketer,Prepare for telemarketing,21-30secs
How to Pack Smartly for a Plane Trip,Pack your carry on,51-60secs
How to Help Your Child Cope With Culture Shock When Traveling,Understand the symptoms of culture shock so you can diagnose it and deal with it accordingly,31-40secs
How to Kill Villagers Easily in Minecraft,Send the Villager in a place far from the village,1-10secs
How to Use Prenatal Massage Techniques,Avoid the pressure points in ankles and wrists,21-30secs
How to Ignore a Guy That You Like,Take some space from mutual friends,51-60secs
How to Make a Toy Parachute,Get a napkin or cut a square out of a plastic bag,1-10secs
How to Set Up a Bird Cage,Consider the size of your bird,21-30secs
How to Burn Fat Fast,Eat regular balanced meals,11-20secs
How to Burn Fat Fast,Drink lots of water,21-30secs
How to Create a Sudoku,Draw a large square,21-30secs
How to Create a Sudoku,Divide the small squares into 3x3 grids,21-30secs
How to Create a Sudoku,Trace the pencil lines with marker,21-30secs
How to Create a Sudoku,Copy or scan your blank puzzle,31-40secs
How to Create a Sudoku,Print out a template,51-60secs
How to Get a Horse Used to Baths,Once you have someone holding the horse firmly (but calmly) slowly turn on the water hose,21-30secs
How to Reset Your BIOS,Power down your computer,1-10secs
How to Sew in Hair Extensions,Decide if you want human hair or not,11-20secs
How to Delete Conversations on Skype on a PC or Mac,Click Show advanced options,11-20secs
How to Draw a Lighthouse,Color the drawing,1-10secs
How to Check a Cat for Fever,Prepare the thermometer ahead of time,21-30secs
How to Connect With People,Make it easy for people to reach you,31-40secs
How to Make Vegan Buttercream Frosting,Whip the margarine,51-60secs
How to Get Over a Girl That Left You for Another Guy (Teens),Don't worry about the other guy!,1-10secs
How to Steam Asparagus,Put the asparagus into the pot and cover it with a lid,11-20secs
How to Steam Asparagus,Remove the asparagus from heat,31-40secs
How to Design a Habitat for a Ladybird,Add grass and leaves,11-20secs
How to Design a Habitat for a Ladybird,Add some decoration,11-20secs
How to Design a Habitat for a Ladybird,Add ladybirds,51-60secs
How to Design a Habitat for a Ladybird,Add some food,11-20secs
How to Design a Habitat for a Ladybird,Give them water,1-10secs
How to Design a Habitat for a Ladybird,Release your ladybirds,51-60secs
How to Cleanse Pores,Use a facial lotion,31-40secs
How to Apply Easy Eye Makeup,Select your eyeshadows,1-10secs
How to Apply Easy Eye Makeup,Apply the darker color along your eyelid's crease,11-20secs
How to Apply Easy Eye Makeup,Blend your eyeshadows well,51-60secs
How to Apply Easy Eye Makeup,Add some eyeliner,21-30secs
How to Make a Cloud in a Bottle,Assemble your supplies,21-30secs
How to Decorate with Vintage Artwork,Adorn the staircase with framed family photos,11-20secs
How to Stop Coughing Using Home and Natural Remedies,Drink lots of water,1-10secs
How to Stop Coughing Using Home and Natural Remedies,Add more Vitamin C to your diet,41-50secs
How to Stop Coughing Using Home and Natural Remedies,Take zinc,11-20secs
How to Make a Water Fountain,Get a large decorative bowl or pot,1-10secs
How to Tell Someone You Don't Want to Be Their Friend Without Hurting Their Feelings,Show empathy,1-10secs
How to Tell Someone You Don't Want to Be Their Friend Without Hurting Their Feelings,Stay positive,1-10secs
How to Delete Friends on Snapchat,Open Snapchat,1-10secs
How to Wear Ruffles,Look for ruffles along the lower hem if you have broader hips,21-30secs
How to Become a Firefighter Paramedic,Continue training,21-30secs
How to Include Ice Cream As Part of a Healthy Diet,Skip low-fat fat-free and sugar-free versions,1-10secs
How to Enjoy Life After Retirement,Trade inactive time for active time,1-10secs
How to Enjoy Life After Retirement,Eat more fiber,11-20secs
How to Enjoy Life After Retirement,Quit smoking,11-20secs
How to Enjoy Life After Retirement,Stay on top of personal hygiene,31-40secs
How to Protect Intellectual Property Rights,Fill out your trademark registration application,1-10secs
How to Set a Default Sound Device on Windows,Chose a default device,41-50secs
How to Set a Default Sound Device on Windows,Listen for connection sounds,11-20secs
How to Start a Fire With Different Types of Kindling,Find a substitute for kindling,1-10secs
How to Start a Fire With Different Types of Kindling,Make the fire,11-20secs
How to Improve Your Voice,Adjust the volume of your voice,11-20secs
How to Improve Your Voice,Practice your speech,21-30secs
How to Lose Weight (for Girls),Chew slowly,1-10secs
How to Detect Lies,Pay attention to the person's voice,11-20secs
How to Detect Lies,Pay attention to exaggerated details,11-20secs
How to Be Like Lupita Fernandez from Rebelde,Do your eyebrows,11-20secs
How to Be Like Lupita Fernandez from Rebelde,Wear minimal makeup,1-10secs
How to Be Like Lupita Fernandez from Rebelde,Dress like her when she's at school,1-10secs
How to Be Like Lupita Fernandez from Rebelde,Have cute accessories!,21-30secs
How to Make a Paper Popper,Fold the popper in half to create a trapezoid shape,11-20secs
How to Make a Paper Popper,Pop your paper popper,11-20secs
How to Install a Pet Door or Dog Door,Get the necessary tools and pet door parts of the appropriate size,31-40secs
How to Look After Your Skin in Summer,Wear sunglasses,41-50secs
How to Dispute Negative Feedback on eBay,Work with the buyer to resolve the problem,51-60secs
How to Deal With Your Mother's Abusive Boyfriend,Encourage your mother to take care of herself,1-10secs
How to Fold and Insert a Letter Into an Envelope,Turn the letter sideways and insert into the envelope,41-50secs
How to Tie Sperrys,Cross the laces,21-30secs
How to Tie Sperrys,Tie a square knot,41-50secs
How to Tie Sperrys,Tuck the end in the loop and pull,11-20secs
How to Tie Sperrys,Repeat on the right lace,51-60secs
How to Start a Women's Book Club,Settle on a time to meet,51-60secs
How to Make a Natural Toilet Bomb,Pop the toilet bombs out of the molds,31-40secs
How to Hire Marketing Consultants,Select at least 3 marketing consultants to interview,1-10secs
How to Protect a Motorcycle From Theft,Connect a concealed kill switch on to your bike so a potential bike thief will have to search for it to start the bike,11-20secs
How to Protect a Motorcycle From Theft,Park your motorbike out in the open and in a busy location if you are out and about,41-50secs
How to Protect a Motorcycle From Theft,Attach and lock your motorbike to a stationary object if possible,11-20secs
How to Protect a Motorcycle From Theft,Don't ever leave your motorcycle running even for a few moments,21-30secs
How to Tell the Future,Read shadows,11-20secs
How to Tell the Future,Look to the stars,1-10secs
How to Prevent Hair Clogs,Do a hot water rinse,1-10secs
How to Volunteer Overseas,Try a recruiter,11-20secs
How to Have the Best School Spirit,Decorate your locker or dorm room door,11-20secs
How to Take Action when You Lose Sight of Your Child at an Amusement Park,Don't panic in the event that your child does get lost or separated,11-20secs
How to Be a Humanitarian,Determine what skills you can offer,1-10secs
How to Make Hair Gel,Scent the liquid,41-50secs
How to Make a Pillowcase Dress,Sew a casing on the front and back of the dress,1-10secs
How to Make a Pillowcase Dress,Pull a ribbon through each side of the casing,11-20secs
How to Use Coconut Oil,Start slowly,1-10secs
How to Get Rid of Gophers,Use gopher burrow blasters or detonators to smoke them out,11-20secs
How to Make Roses from Leaves,Fold one leaf in half,41-50secs
How to Get the TI 83 on Your Computer,Open the Google Play Store,1-10secs
How to Be a Mistress the 1/3 Method,Find an accessible meeting place,21-30secs
How to Complete the Gertrude's Cat Quest on RuneScape,Find her sons,11-20secs
How to Maintain Happiness No Matter What,Avoid focusing too much on negative situations,21-30secs
How to Detect Subtleties in a Relationship,Consider that subtleties may be hidden,11-20secs
How to Clean White Gold,Remove grime and dirt from the white gold piece,21-30secs
How to Apply Conditioner to Your Hair,Choose the right conditioner for your hair type,21-30secs
How to Become Closer to Nature,Take up meditation,21-30secs
How to Be a Healthy Vegan,Get your vitamin B12,21-30secs
How to Be a Healthy Vegan,Eat protein-hearty foods,31-40secs
How to Be a Healthy Vegan,Incorporate foods with omega-3 fatty acids,11-20secs
How to Be a Healthy Vegan,Eat salt and seaweed for the iodine,11-20secs
How to Be a Healthy Vegan,Eat foods with zinc,31-40secs
How to Celebrate a 21st Birthday,Stock up and batten down the hatches,21-30secs
How to Get out of Bed when You Really Can't,Make yourself cold,1-10secs
How to Play Twister,Dress comfortably,11-20secs
How to Draw Severus Snape,Begin by drawing one big oval,21-30secs
How to Crochet a Baby Blanket,Make the foundation round,11-20secs
How to Crochet a Baby Blanket,Make the third round,21-30secs
How to Crochet a Baby Blanket,Keep making rounds,41-50secs
How to Make Breast Milk More Nutritious,Consume up to 500 more calories a day,21-30secs
How to Make a Bicycle Racing Team,First you need members.You can ask your friends to join your team!,11-20secs
How to Prevent Canine Leptospirosis,Check for stomach issues,51-60secs
How to Get a Modeling Job,Review your portfolio and composite,21-30secs
How to Use Spotify,Search for music,1-10secs
How to Add an Extra Email Address on LinkedIn,Go to the Review menu,41-50secs
How to Add an Extra Email Address on LinkedIn,Add an email address,11-20secs
How to Add an Extra Email Address on LinkedIn,Exit the menu,11-20secs
How to Make a Chocolate Biscuit Cake,Mix in some condensed milk,1-10secs
How to Enter Safe Mode on a PlayStation,Repeat holding the power button again waiting through the beeps,21-30secs
How to Enter Safe Mode on a PlayStation,Connect your controller to the PS3 and press the PS button,31-40secs
How to Enter Safe Mode on a PlayStation,Review your options,1-10secs
How to Learn to Live Independently,Get a personal planner,21-30secs
How to Knuckle a Soccer Ball,Place your ball about 30 feet (10 meters) away from the goal,41-50secs
How to Knuckle a Soccer Ball,Approach the ball like you would for a normal strike with your laces,11-20secs
How to Knuckle a Soccer Ball,Place your plant foot even with the ball roughly six inches to the side,21-30secs
How to Knuckle a Soccer Ball,Strike the ball with your laces right below the very center of the ball,1-10secs
How to Knuckle a Soccer Ball,Stop your follow through as soon as you hit the ball,1-10secs
How to Use a Drill Safely,Wear safe clothing and eye protection,21-30secs
How to Have a Social Life As a Single Mom,Meet new people,21-30secs
How to Sample Music Safely and Effectively,Listen to acts known for sampling (Beastie Boys Kanye West DJ Shadow Burial) and get a feeling for how utilize bits of other songs,21-30secs
How to Sample Music Safely and Effectively,Aim Low or Have Cash,51-60secs
How to Operate a Scientific Calculator,Learn how to save and restore,1-10secs
How to Avoid Online Auction Description Mistakes,Don't assume the buyer understands what you want them to understand with a picture,1-10secs
How to Avoid Online Auction Description Mistakes,Don't overstate the value or rarity,21-30secs
How to Avoid Online Auction Description Mistakes,Do not be ambiguous,1-10secs
How to Avoid Online Auction Description Mistakes,Never stoop to criticising anybody else,41-50secs
How to Wear a Pin,Put a pin on your waistline,1-10secs
How to Wear a Pin,Place a pin on the lapel of your suit jacket,41-50secs
How to Wear a Pin,Replace the top button of a suit jacket with a pin,1-10secs
How to Be Consistent With Your Grades,Check to see which assignments you didn't do so well on,11-20secs
How to Apply Lip Color,Choose the perfect lip cosmetic for you,11-20secs
How to Apply Lip Color,Decide whether you are going to wear lip liner,1-10secs
How to Apply Lip Color,Apply your lipgloss,21-30secs
How to Learn Vocal Music,Listen to famous classical or opera singers,1-10secs
How to Get Out of a Slump,Get your juices flowing early,41-50secs
How to Make Rising Zombie Cupcakes,Make extra wide cupcakes using large cupcake papers or muffin pan holes,51-60secs
How to Clean the Windows Registry by Hand,Launch the Windows registry editor,1-10secs
How to Manage Your Time over Summer Break,Wake up at the same time everyday,11-20secs
How to Teach Math,Use visual examples and stories to explain new concepts,11-20secs
How to Make Chili,Saute the onions until they are tender,11-20secs
How to Visit Qatar,Pack for the weather,1-10secs
How to Visit Qatar,Visit neighboring tourist destinations,31-40secs
How to Wear a Wedding Ring,Wear a watch as your wedding band,1-10secs
How to Be a Nerdfighter,Watch the videos made by John and Hank,1-10secs
How to Be a Nerdfighter,Learn the jokes and terminology that have cropped up in the nerdfighter community,11-20secs
How to Make a Beyblade,Make a stamina beyblade,51-60secs
How to Make a Beyblade,Make a balance beyblade,11-20secs
How to Write a Congruent Triangles Geometry Proof,Draw a diagram,31-40secs
How to Write a Congruent Triangles Geometry Proof,Choose the correct theorem to prove congruency,21-30secs
How to Write a Congruent Triangles Geometry Proof,Set up a two-column proof,11-20secs
How to Write a Congruent Triangles Geometry Proof,Write down the givens,1-10secs
How to Write a Congruent Triangles Geometry Proof,Use the appropriate theorems definitions and postulates as reasons,21-30secs
How to Avoid a Potential Lawsuit When Giving References,Make it quick,1-10secs
How to Dress Appropriately,Organize your closet,1-10secs
How to Be Comfortable in Any Situation,Accept your flaws,1-10secs
How to Prevent Medical Record Theft,Report medical identity theft to the authorities,21-30secs
How to Choose a Bank or Credit Union That Is Right for You,Choose an insured credit union,1-10secs
How to Quickly Delete Photos on an iPhone,Open the Photos app,11-20secs
How to Use Web Content as Research Material,Look at the URL for clues about the reliability of the information for Internet research,11-20secs
How to Do One Arm Flyes,Stop the weight when it is parallel to your chest,1-10secs
How to Preserve Berries for Floral Arrangements,Cut the stems at an angle,11-20secs
How to Get Paint Off Canvas Shoes,Blot the affected area with a wet cloth,11-20secs
How to Get Paint Off Canvas Shoes,Rub the stain with a dry cloth and some laundry detergent,11-20secs
How to Join Viewbug,Click on the 'sign up' button in the upper right hand corner,11-20secs
How to Join Viewbug,Enter your Email,11-20secs
How to Join Viewbug,Choose a profile picture,21-30secs
How to Join Viewbug,Upload your photography,41-50secs
How to Clean Your Shoelaces,Relace your shoes,31-40secs
How to Be Mentally Prepared and Organized Before School Starts,There are many ways to mentally prepare yourself for school,11-20secs
How to Befriend a Guy,Go up and say hello,21-30secs
How to Take off Nail Polish on Skin,Try to remove the polish while it is still wet,11-20secs
How to Select the Perfect Homecoming Dress,Pick the right length and cut,41-50secs
How to Show a Guy That You Like Him,Show him how you feel with your body language,1-10secs
How to Show a Guy That You Like Him,Compliment him,1-10secs
How to Show a Guy That You Like Him,Ask if he likes anyone,1-10secs
How to Spin a Rugby Ball,Use long accurate spirals for big passes,11-20secs
How to Use a Fire Starter,Scrape the magnesium bar,31-40secs
How to Use a Fire Starter,Maintain the fire,1-10secs
How to Chop Wood,Prepare your swing,1-10secs
How to Buy Nail Polish on a Budget,Splurge a bit on essentials,21-30secs
How to Tie a Carolina Rig,Tie on your leader line to the hook,1-10secs
How to Get a Proper Tan,Choose a self-tanner,1-10secs
How to Get Soft Lips,Rub cucumber slices on your lips,1-10secs
How to Cite Sources in Chicago Manual of Style Format,Cite a book,41-50secs
How to Cite a Play,Finish the entry with the 4-digit year of publication,11-20secs
How to Behave Like Blair Waldorf,Always be cool and composed,11-20secs
How to Choose a Survival Knife for Hiking Backpacking or Camping,Knowing is half the battle,11-20secs
How to Write a Letter Showing Proof of Residence for a Tenant,Sign the letter,1-10secs
How to Make Gunpowder,Get elemental sulfur,21-30secs
How to Have Amazing Hair,Use shampoo to wash your hair once every 2-3 days,1-10secs
How to Retrain a Cat to Use the Litter Box,Clip away matted fur in long-haired cats,11-20secs
How to Survive a Wind Tunnel in a Major City,Check your belongings,1-10secs
How to Create a Percy Jackson Character,Draw up a rough copy of your demigod,11-20secs
How to Master Hair Cutting Techniques,Determine the length of the top layer,41-50secs
How to Look After Your Hair,Avoid washing your hair every day,1-10secs
How to Sell Girl Scout Cookies,Call or email relatives and friends in other states,51-60secs
How to Cut Your Own Long Hair,Place another elastic band further down the ponytail,11-20secs
How to Skip Rocks,Find a flat water surface with a large supply of rocks,51-60secs
How to Skip Rocks,Face the water sideways with your feet shoulder-width apart,11-20secs
